一般,私立,長庚大學,340901,醫務管理學系,94.44,1
一般,私立,義守大學,340901,醫務管理學系,94.95,1
技職,私立,嘉南藥理大學,340901,醫務管理系,89.51,1
一般,私立,臺北醫學大學,340901,醫務管理學系,92.19,1
一般,私立,長榮大學,340901,醫務管理學系,79.31,1
一般,私立,中國醫藥大學,340901,醫務管理學系,84.44,1
技職,私立,亞東技術學院,340901,醫務管理系,96.05,1
技職,私立,元培醫事科技大學,340901,醫務管理系,78.76,1
技職,私立,慈濟科技大學,340901,醫務管理系,63.16,1
一般,私立,銘傳大學,340902,醫療資訊與管理學系,98.26,1
技職,公立,國立臺北護理健康大學,340904,健康事業管理系,98.41,1
技職,私立,輔英科技大學,340904,健康事業管理系,76.32,1
技職,私立,弘光科技大學,340904,健康事業管理系,96.51,1
技職,私立,美和科技大學,340904,健康事業管理系,54,1
一般,私立,開南大學,340905,健康產業管理學系,84.78,1
一般,私立,亞洲大學,340905,健康產業管理學系,95,1
技職,私立,中臺科技大學,340905,醫療暨健康產業管理系,91.82,1
一般,私立,中山醫學大學,340907,醫療產業科技管理學系,95.56,1
一般,私立,高雄醫學大學,340908,醫務管理暨醫療資訊學系,93.33,1
技職,私立,中華醫事科技大學,340909,醫務暨健康事業管理系,53.75,1
