type,national,name,department_number,department_name,enroll_rate,selected
一般,公立,國立臺灣師範大學,140201,公民教育與活動領導學系,100,1
一般,公立,國立臺中教育大學,140202,語文教育學系,95.65,1
一般,公立,國立臺灣師範大學,140203,華語文教學系,100,1
一般,私立,銘傳大學,140203,華語文教學學系,95.83,1
一般,公立,國立臺北教育大學,140206,自然科學教育學系,87.76,1
一般,公立,國立臺中教育大學,140206,科學教育與應用學系,91.11,1
一般,公立,國立臺北教育大學,140210,數學暨資訊教育學系,91.67,1
一般,公立,國立臺中教育大學,140211,數學教育學系,87.5,1
一般,公立,國立臺北教育大學,140212,兒童英語教育學系,100,1
一般,公立,國立新竹教育大學,140212,英語教學系,100,1
一般,公立,臺北市立大學,140212,英語教學系,97.14,1
技職,私立,文藻外語大學,140213,外語教學系,98.9,1
一般,公立,國立臺灣師範大學,140215,人類發展與家庭學系,96.55,1
一般,公立,國立彰化師範大學,140221,公共事務與公民教育學系,100,1
一般,公立,國立臺灣師範大學,140222,社會教育學系,100,1
